번호,제목,생산일,조회수,내용번호
1107,양식서 중에 연면적은 무엇을 뜻합니까?,2009-10-12,222,2894711
1108,건축한계선이 계획된 구간에서 지하 외벽도 준수해야 하는지?,2009-10-12,8614,2897292
1109,구청장의 업무 추진비는 어떻게 책정됩니까?,2009-10-12,109,2897766
1110,구청장의 업무추진비는 직원 경조사비에도 쓰여 집니까?,2009-10-12,495,2897767
1111,구청장의 업무추진사용 용도는,2009-10-12,103,2897768
1112,부구청장의 업무추진비는 얼마,2009-10-12,139,2897769
1113,법인카드로 유흥주점에서도 사용이 가능합니까,2009-10-12,548,2897770
1114,시책추진업무추진비의 사용용도는?,2009-10-12,396,2897771
1115,업무추진비로 1인당 식사비용은,2009-10-12,650,2897772
1116,위원회는 무슨일을 하나요?,2009-10-12,234,2897286
1117,위원회의 설치기준은 무엇인가요?,2009-10-12,181,2897260
1118,나대지는 무엇입니까?,2009-10-12,4334,2897671
1119,비오톱이란 무엇인가요?,2009-10-12,3286,2896541
1120,주요업무대상사업은?,2009-10-12,229,2895934
1121,주민제안시 동의율은?,2009-10-12,231,2897316
1122,서대문구 보도육교 기전설비 관련 민원 접수는 어디로 하나요?,2009-10-12,517,2895810
1123,자동차정류장의 구조 및 설치기준,2009-10-12,492,2896378
1124,용지환산계수란 무슨 뜻입니까?,2009-10-12,1039,2897317
1125,인사위원회 위원은 몇명입니까?,2009-10-12,252,2895193
1126,인사위원회가 하는 일은 무엇입니까?,2009-10-12,168,2895194
1127,인사위원회는 몇명인가요?,2009-10-12,283,2895171
1128,인사위원회 임기는 어떻게 되나요?,2009-10-12,305,2895172
1129,소청심사위원회 인원은 몇명인가요?,2009-10-12,160,2895173
1130,구의원도 인사위원회 위원이 될수있나요?,2009-10-12,155,2895174
1131,"구청장, 부구청장 등의 경조사비 한도는",2009-10-12,536,2897773
1132,업무추진비 등에 대한 감사를 받는지?,2009-10-12,120,2897804
1133,견책의 처분기간은 얼마입니까?,2009-10-12,202,2895175
1134,국장 기관운영업무추진비는?,2009-10-12,127,2897805
1135,국장들은 사무실마다 개인비서가 있는지?,2009-10-12,370,2897806
1136,업무추진비를 집행하며 꼭 카드로만 사용해야 하는지?,2009-10-12,113,2897807
1137,법인카드를 개인적인 용도로 사용할 수 있는지?,2009-10-12,233,2897808
1138,구의원의 유급제 여부,2009-10-12,119,2897809
1139,구의원 시의원 연임 가능 여부,2009-10-12,1057,2897810
1140,지방직과 국가직 직원의 교류가 가능한지?,2009-10-12,1018,2896190
1141,국가직과 지방직의 정년이 같은지?,2009-10-12,494,2896191
1142,구청에서 현안업무 조율을 위한 회의가 있는지?,2009-10-12,134,2897811
1143,은평구와 종로구를 연결하는 터널이름은,2009-10-13,104,2897757
1144,은평구에서 통일로로 서대문으로 넘어가는 고개 이름은?,2009-10-13,185,2897758
1145,피커폰이 무엇입니까?,2009-10-13,493,2898243
1146,민원사항에 대한 처리결과 통지 방법은 ?,2009-10-13,436,2895179
1147,접지를 해야하는 이유는 무엇인가요?,2009-10-13,1287,2894689
1148,장기미집행도시계획도로란 무엇인가요?,2009-10-13,1515,2895066
1149,식재 공사시 유의할 사항은 ?,2009-10-13,109,2894739
1150,수목제거 공사시 유의점은 무엇인가요 ?,2009-10-13,283,2894740
1151,공사장 안전관리 교육 사항은 무엇입니까 ?,2009-10-13,372,2894741
1152,지목이 도로인데 매수청구가 가능한가요?,2009-10-13,1796,2895067
1153,작업장내 통로 점검사항은 무엇이 있나요 ?,2009-10-13,663,2894742
1154,안전표지 점검사항은 무엇이 있나요 ?,2009-10-13,125,2894743
1155,"유해,위험방지 계획서 제출 대상공사는 ?",2009-10-13,1734,2894744
1156,도로율이란 무엇인가요?,2009-10-13,229,2894485
1157,안정망 설치시 유의점은?,2009-10-13,208,2894745
1158,철골공사에 필요한 안전설비는 ?,2009-10-13,281,2894746
1159,비계조립 및 해체시 유희사항은 ?,2009-10-13,281,2894747
1160,사다리 사용시 점검사항은 ?,2009-10-13,567,2894730
1161,계약담당자란?,2009-10-13,1000,2894731
1162,낙하물 방지망(철망) 설치시 유의사항은 ?,2009-10-13,1096,2894732
1163,서대문구 위원회는 몇개인가요?,2009-10-13,162,2897261
1164,설계서란?,2009-10-13,1316,2894734
1165,공종별 목적물 물량내역서란?,2009-10-13,2309,2894735
1166,공사의 산출내역서란?,2009-10-13,3742,2894736
1167,계약문서란?,2009-10-13,426,2894737
1168,계약보증금이란?,2009-10-13,1464,2894738
1169,거푸집 동바리 점검사항은 ?,2009-10-13,521,2894721
1170,거푸집 동바리 설치시 무게 계산 검토사항은 ?,2009-10-13,753,2894722
1171,기능직 공무원은 현재 몇명인가요?,2009-10-13,243,2896755
1172,공사손해보험이란?,2009-10-13,2081,2894723
1173,콘크리트 타설시 점검사항은 ?,2009-10-13,704,2894724
1174,주거환경개선지구 내 건축허가 가능 여부,2009-10-13,1762,2897820
1175,유도신호 작업시 유의사항은 ?,2009-10-13,271,2894725
1176,공사현장대리인이란?,2009-10-13,2166,2894726
1177,여행방(동아리 활동 장소) 이용 안내(송파구청 지하1층),2009-10-13,371,2895324
1178,착공 및 공종보고내용은?,2009-10-13,546,2894727
1179,콘크리트 균열보수시 유희사항은 ?,2009-10-13,257,2894728
1180,설계변경 사유는?,2009-10-13,1318,2894729
1181,주택가 토목공사에 따른 교통안전 방안은 ?,2009-10-13,144,2894808
1182,녹번동 1-3구역 임대아파트 건립 세대수?,2009-10-13,401,2896588
1183,소요자재 수급방법 변경 방법은?,2009-10-13,245,2894809
1184,토공사의 낙석예방 방안은 ?,2009-10-13,188,2894810
1185,지체상금이란?,2009-10-13,257,2894811
1186,기초공사 사전준비 사항은 ?,2009-10-13,114,2894812
1187,준공검사 기간은?,2009-10-13,3906,2894813
1188,하자보수란?,2009-10-13,2084,2894814
1189,하자검사 시기는?,2009-10-13,240,2894815
1190,임대주택 자격요건은?,2009-10-13,284,2896092
1191,하자만료검사란?,2009-10-13,1043,2894720
1192,준공대금 지급일은?,2009-10-13,266,2894816
1193,추진위원에 감사가 포함되나요?,2009-10-13,118,2896093
1194,송파구민회관 수요무대,2009-10-13,1402,2896917
1195,은평구 상징조형물 에코팟은 어디에 설치되어 있나요?,2009-10-13,414,2896622
1196,건설공사대장 통보란?,2009-10-13,1201,2894719
1197,응암4-2구역 확정구역 지번,2009-10-13,534,2896602
1198,서울놀이마당 문화예술공연,2009-10-13,5187,2896407
1199,임대주택은 누가 공급하며 또 관리는 누가 하나요?,2009-10-13,203,2896095
1200,자동차극장 시설기준은 어떻게 되나요?,2009-10-13,1878,2896174
1201,조합원 소유의 토지.건물의 보상가격은 어떻게 결정하나요?,2009-10-13,115,2896097
1202,만약 보상가격에 이의가 있으면 어떻게 해야 되나요?,2009-10-13,152,2896098
1203,녹번주거환경개선지구 내 주택개량대상 현황,2009-10-13,926,2897821
1204,불광주거환경개선지구 내 주택개량대상 현황,2009-10-13,403,2897822
1205,최고고도지구란 무엇 인가요?,2009-10-13,1219,2896044
1206,북한산생태공원은 어디에 있습니까?,2009-10-13,1786,2898422
1207,주거환경개선지구 내 건축허가 시 국민주택 채권 여부,2009-10-13,847,2897825
1208,"은평구 공동주택 단지, 세대수 현황을 알고싶습니다.",2009-10-13,362,2898308
1209,은평구 청사 방송시스템은 어떻게 구성되어 있습니까?,2009-10-13,118,2895230
1210,주홍날개 꽃매미란?,2009-10-13,1886,2898245
1211,광로의 종류는?,2009-10-13,1139,2897672
1212,중로의 종류는?,2009-10-13,1572,2897673
1213,소로의 종류는?,2009-10-13,874,2897688
1214,건축한계선은 무엇인가요?,2009-10-13,2339,2896045
1215,공간정보란 무엇인가?,2009-10-13,710,2894647
1216,퇴소 후 입소료 반환받을 수 있나요?,2009-10-13,582,2896194
1217,어린이집에 조리사가 꼭 있어야 하나요?,2009-10-13,700,2895209
1218,조합임원 수의 법정기준은?,2009-10-13,99,2897706
1219,조합임원이 같은 목적의 정비사업을 하는 다른 조합의 임원이 될수 있읍니까?,2009-10-13,95,2896100
1220,대표자 변경시에도 어린이 놀이시설 설치검사를 받아야 하나요?,2009-10-13,360,2895289
1221,보육교사의 근무시간?,2009-10-13,1329,2896195
1222,구청에서 각종 안내를 문자로도 알려 줍니까?,2009-10-13,203,2897759
1223,시공자 선정시 경쟁입찰의 방법은,2009-10-13,91,2897707
1224,옥외광고업자 교육 미이수자 과태료 부과관련,2009-10-13,492,2895867
1225,조합임원의 선임 및 해임을 대의원회로 할수있는지,2009-10-13,160,2897708
1226,신용불량자의 경우 신용카드 발급 처리는 어떻게 해야하나요?,2009-10-13,4522,2896758
1227,입법예고는 무엇을 예고하나요?,2009-10-13,284,2898309
1228,인증유보 및 불인증시설이 재참여 할 수 있나요?,2009-10-13,277,2896196
1229,관광버스(전세버스) 외부 측면광고 가능 여부,2009-10-13,1350,2895868
1230,정보통신유지보수 용역을 위한 자격은 있나요?,2009-10-13,177,2895246
1231,"옥외광고업 등록,변경,폐업시 전국시군구 통보처리",2009-10-13,243,2895872
1232,옥외광고대행업 해당여부,2009-10-13,1929,2895873
1233,옥외광고업 등록 및 창문에 LED 문자형 설치관련,2009-10-13,281,2895876
1234,시공업자가 옥외광고업자가 아닐경우,2009-10-13,183,2895878
1235,광고도장기능사,2009-10-13,288,2895847
1236,i-사랑카드 이용자의 자격변경에 따라 카드재발급이 필요한가?,2009-10-13,298,2896759
1237,노원구 어린이 사이버교실이 어떤거죠 ?,2009-10-13,1360,2897225
1238,조망가로미관지구?,2009-10-13,1205,2896101
1239,수색2구역 시장 명칭은,2009-10-13,423,2896102
1240,서대문구 거리벽화 사업,2009-10-13,668,2897690
1241,무단점용이란?,2009-10-13,1773,2897405
1242,조망가로미관지구의 건축물 높이는?,2009-10-13,595,2896103
1243,상가세입자에 대한 주거이전비 지급 여부,2009-10-13,761,2895457
1244,주거환경개선지구은 언제 지구지정 되어나,2009-10-13,342,2897826
1245,비디오물소극장에 청소년출입동의서에 기재되어야 할 사항은 무엇인가요?,2009-10-13,505,2896131
1246,주택에 입주할 수 있는 요건은?,2009-10-13,161,2896005
1247,연대 건너편 가도교에 벽화를 그리고 싶은데 어떻게 해야하나요?,2009-10-13,409,2897691
1248,상속에 의한 분양가 합산 가능한가?,2009-10-13,252,2895458
1249,모래내 경관사업이라고 들은것 같은데 어떠한 사업인가요?,2009-10-13,197,2897692
1250,입주자 저축제도에는 무엇이 있나요?,2009-10-13,2582,2897332
1251,민간 건축물 디자인심의 대상과 신청방법 및 제출서류는 어떻게 되나요?,2009-10-13,374,2897596
1252,주민공동시설이란?,2009-10-13,5081,2894632
1253,의료시설이란?,2009-10-13,2866,2894633
1254,벽화 그림의 주제는 어떠한 것도 상관없나요?,2009-10-13,627,2897694
1255,독신자용 주택이란?,2009-10-13,1579,2894631
1256,북아현2 재정비촉진구역 아파트 신축 건축규모는?,2009-10-13,453,2896006
1257,식품제조가공업소가 자가품질검사를 실시하지 않은 경우 행정처분 기준은?,2009-10-13,1259,2898270
1258,토지90제곱미터 미만인 공유지분 소유자의 공동분양 신청 여부,2009-10-13,1392,2895455
1259,자치구세에는 어떠한게 있나요?,2009-10-13,17,25321865
1260,당겨결제는 어떻게 하는 건가요?,2009-10-13,1159,2896761
1261,단지안의 시설 이란?,2009-10-13,359,2897333
1262,(은평구)행정정보 공동이용시 제약사항이 있나요?,2009-10-13,233,2895248
1263,총괄사업관리자인 sh공사가 하는 일은?,2009-10-13,612,2896105
1264,이자는 언제 받을 수 있나요?,2009-10-13,324,2895558
1265,서울소재 노인시험감독관 사업수행기관은?,2009-10-13,243,2897760
1266,[이재민판정]이재민 판정은 누가 합니까?,2009-10-13,657,2896568
1267,청소년수련시설 결정기준,2009-10-13,645,2896370
1268,유수지의 정의,2009-10-13,674,2896386
1269,매칭자금은 언제 입금합니까?,2009-10-13,341,2895560
1270,저수지의 정의,2009-10-13,481,2896369
1271,도정법에서 토지등소유자에게 공개토록 되어 있는 서류 등은 무엇이 있습니까?,2009-10-13,218,2896106
1272,어린이집에서 현금영수증 발급가능한가요?,2009-10-13,3809,2897408
1273,구에서 도시계획위원회를 구성하여 운영하고 있나요?,2009-10-13,226,2897695
1274,토지분할로 인하여 지번이 변경될 경우 대지소유자의 동의서 첨부여부.,2009-10-13,1252,2896046
1275,은평뉴타운의 실개천 조성 규모는?,2009-10-13,654,2895111
1276,은평구 관내 수색로 구간은 ?,2009-10-13,165,2896047
1277,"구립, 민간, 가정어린이집 차이점은?",2009-10-13,12792,2897409
1278,건축물이 증축되어 기재신청서를 제출하려고 하는데 서식이 없습니다.,2009-10-13,937,2897410
1279,의료기관에서 진료기록부 사본을 발급 받으려면 어떻게 해야되나요 ?,2009-10-13,3306,2896245
1280,공공청사에 대하여 구청장이 결정할 수 있는 범위는 ?,2009-10-13,176,2896108
1281,가족수당의 지급요건은?,2009-10-13,154,2896660
1282,스키장업 시설 설치 기준은?,2009-10-13,588,2895469
1283,가족수당(직계존속)의 연령요건은?,2009-10-13,869,2896661
1284,가족수당(직계비속)의 연령요건은?,2009-10-13,657,2896662
1285,대체에너지 설치대상 건축물,2009-10-13,315,2894655
1286,불광천 벽천분수에 있는 조형물 이름은?,2009-10-13,722,2896624
1287,용도폐지되는 공공용지는 공공용지 부담비율(면적)에 포함되는지?,2009-10-13,278,2895112
1288,최대개발규모에 대한 경미한 변경사항?,2009-10-13,648,2895113
1289,공동주택의 세대 강제환기시설?,2009-10-13,776,2894656
1290,은평문인협회 대표자 및 회원수는?,2009-10-13,403,2896176
1291,말소건축물대장이란 무엇인가요?,2009-10-13,5763,2897173
1292,공사용자재 분리발주(관급자재),2009-10-13,1238,2894657
1293,건축물대장에 나와 있는 건물가격을 변경하고 싶습니다.,2009-10-13,849,2897412
1294,집합건축물이란 무엇인가요?,2009-10-13,9674,2897172
1295,서울그라티아오케스트라의 음악 성격은?,2009-10-13,766,2896762
1296,아파트 관리사무소장으로 재직 중 명예훼손죄로 벌금형을 선고받는 경우 자격취소 사유가 되는지?,2009-10-13,581,2897334
1297,결혼이민자 1:1 멘토링 서비스는 무엇인가요?,2009-10-13,393,2895792
1298,은평청소년수련관의 청소년상담사업은,2009-10-13,1798,2895365
1299,집합건축물을 일반건축물로 변경하기 위한 절차,2009-10-14,3441,2897413
1300,현황측량성과도를 반드시 첨부해야 하나요?,2009-10-14,5169,2897414
1301,"공개공지,공개공간 확보 대상 건축물",2009-10-14,1686,2895960
1302,공무원이 공용차량을 사적으로 이용하면 되나요?,2009-10-14,349,2897535
1303,공무원들의 동호회 모임에 공용차량을 지원할 수 있는지요?,2009-10-14,214,2897537
1304,태릉ㆍ강릉 - 사적 제201호는?,2009-10-14,548,2898423
1305,아차산일대 보루군(수락산 보루) - 사적 제 455호에 대해 설명해 주세요.,2009-10-14,962,2898424
1306,각심재(恪心齋) - 서울시 민속자료 제16호,2009-10-14,582,2898425
1307,학도암?,2009-10-14,740,2898426
1308,개명했는데 건축물대장의 소유주 이름을 바꿔주세요.,2009-10-14,1446,2897417
1309,"(도봉구 건설기계조종사면허) 전동식 솔리드타이어를 장착한 지게차의 등록, 조종면허등에 건설기계관리법령이 적용되나요?",2009-10-14,1350,2897762
1310,(도봉구 건설기계조종사면허) 타워크레인 조종사면허 발급시 산업안전보건법에 의한 교육이수증으로 면허발급이 가능한지요.,2009-10-14,2219,2897763
1311,보증가능금액 확인서란??,2009-10-14,1327,2895068
1312,"마포로 4,5구역 도시정비형 재개발구역 내 건축행위가 가능한가요?",2009-10-14,1375,2897696
1313,육교 조명등이 소등되어 통행에 불편합니다.,2009-10-14,186,2895114
1314,공무원이 특정 종교를 선전할 수 있나요?,2009-10-14,161,2897521
1315,"(도봉구 건설기계조종사면허) 건설기계관리법 시행규칙 제73조에는 운전면허증으로 운행이 가능한 건설기계는 6종이라고 되어 있지만, 도로교통법 시행...",2009-10-14,4553,2897764
1316,주택과의 복합건축이란?,2009-10-14,4159,2895273
1317,공무원이 민원신청을 위해 방문한 민원인에게 종교를 권유할 수 있나요?,2009-10-14,195,2897529
1318,공무원 행동강령 위반사항은 익명으로도 접수하나요?,2009-10-14,329,2897548
1319,대우공무원으로 선발될수 없는자는?,2009-10-14,710,2895938
1320,북아현뉴타운 3구역내 도로 점용자의 불하는,2009-10-14,498,2896763
1321,경의제2녹지조성사업 세입자 보상은 완료되었나요?,2009-10-14,617,2896765
1322,전입신고 없이 사는 세입자 도 주거이전비 받을 수 있나요 ?,2009-10-14,1406,2896766
1323,IPTV 편성주기는 어떻게 됩니까?,2009-10-14,159,2897552
1324,IPTV 프로그램 운영내역은 어떻게 됩니까?,2009-10-14,159,2897553
1325,IPTV의 필요성은 무엇입니까?,2009-10-14,320,2897475
1326,그린피아-도봉안전기동대가 하는일은 무엇입니까?,2009-10-14,567,2895470
1327,서대문구 캐치프레이즈는 무엇입니까?,2009-10-14,168,2897267
1328,임차인대표회의 동대표 선출방법,2009-10-14,1043,2897337
1329,"관리비등은 금융기관에 예치하여야 하는데.우체국, 농협 등에 예치가 가능한지?",2009-10-15,544,2897338
1330,입주자대표회의가 하자 판정을 의뢰하고 그 비용을 장충금으로 지불할 수 있는지?,2009-10-15,163,2897339
1331,부기등기 이후 제한물권 설정의 효력은?,2009-10-15,844,2896016
1332,임대주택분양전환신고란?,2009-10-15,361,2897340
1333,식품제조가공시 제조연월일은 어느 시점을 의미하나요?,2009-10-15,500,2898271
1334,영업손실보상금에 권리금도 포함되나요?,2009-10-15,1592,2896767
1335,토지 등 소유자가 행방불명일 경우 사업시행인가 신청시 동의자수로 간주할 수 있는지,2009-10-15,1327,2898493
1336,아파트내 알뜰시장 등 임대료를 누가 관리하는지?,2009-10-15,458,2897341
1337,자치관리시 관리소장 해임에 관한 문의,2009-10-15,1248,2897342
1338,주택법 제9조의 규정에 의하여 등록한 주택건설사업자는 임대대상 주택 없이 임대사업자 등록이 가능한지 여부,2009-10-15,1301,2896133
1339,조합의 정관을 변경하고자 할때는?,2009-10-15,476,2896017
1340,도시계획시설(도로) 사업 보상시기는 언제인가요?,2009-10-15,730,2895468
1341,관리처분계획의 경미한 변경이란?,2009-10-15,2240,2896018
1342,국민신문고는 무엇인가요?,2009-10-15,1721,2896345
1343,분전함에 상징 도안을 넣고 싶은데 가능한가요?,2009-10-15,285,2895734
1344,어린이집에서 방학을 할 수 있나요?,2009-10-15,1652,2897419
1345,사업조정제도란 ?,2009-10-15,1837,2895226
1346,보상금을 지급받은 경우 재평가가 가능한지요?,2009-10-15,327,2896768
1347,정부기관에 부 당한 점이 있을때는 어디로 신고하나요,2009-10-15,394,2895849
1348,수색.증산뉴타운 공람공고일은 언제인가요?,2009-10-15,459,2894551
1349,열경련이란?,2009-10-15,627,2896064
1350,주택 소유자에게 미리 이주비를 지급할 수 있는 지?,2009-10-15,761,2896019
1351,주택(아파트포함)과 상업시설물(상가)을 각각 1개씩 소유하고 있는데 상가와 주택을 각각 1개씩 분양권을 받을 수 있나요?,2009-10-15,5891,2896020
1352,홍제3구역 도시환경정비사업 추진현황,2009-10-15,7218,2897680
1353,"사회단체보조금 신청시 다른 부처나 시,도에 중복 제출이 가능한가요?",2009-10-15,213,2897143
1354,열대야 극복 방법은?,2009-10-15,360,2896056
1355,"사회단체보조금심의위원회에서 지원단체 선정시, 선정기준에는 어떤것이 있나요?",2009-10-15,346,2897144
1356,구청 독후감경진대회에 구민도 참여가 가능한가요?,2009-10-15,176,2897344
1357,적조가 발생할 경우 어떻게 해야 하나요?,2009-10-15,397,2896057
1358,서울형안심자판기란 무엇인가요?,2009-10-15,407,2898257
1359,[노원구]해외유학관련 상담할 수 있는 곳이 있나요?,2009-10-15,366,2897194
1360,시립중계노인전문요양원 사업개요,2009-10-15,4678,2897681
1361,주거이전비 (세입자 대책),2009-10-15,2612,2896769
1362,관리규약 개정절차는?,2009-10-16,1622,2897323
1363,분쟁조정위원회는 언제 생겼나요?,2009-10-16,232,2897324
1364,잠실사거리 교통섬에 이는 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,243,2897571
1365,잠실사거리 교통섬에 이는 문자표출용 전광판은 언제 설치되었습니까?,2009-10-16,205,2897572
1366,분쟁조정 위원장은 누구인가요?,2009-10-16,175,2897325
1367,성내천에 있는활정보안내파 이는 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,245,2897573
1368,거여역의 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,136,2897574
1369,서대문구 지식관리시스템 이름이 뭔가요?,2009-10-16,201,2897281
1370,주택임대보증이란?,2009-10-16,1118,2897326
1371,거여역의 문자표출용 전광판의 설치는 언제 되었습니까?,2009-10-16,157,2897575
1372,성내천에 있는 문자표출용 전광판은 언제 설치되었습니까?,2009-10-16,242,2897576
1373,성내천 문파표출용 전광판의 정확한 설치 장소는 어디입니까?,2009-10-16,232,2897577
1374,재정비촉진지구와 뉴타운지구의 다른 점은 무엇입니까?,2009-10-16,302,2896021
1375,재정비촉진지구내에서는 모든 건축물을 다 철거하고 개발을 합니까?,2009-10-16,417,2897682
1376,상상릴레이 시스템은 별도의 로그인 과정이 필요한가요?,2009-10-16,168,2895963
1377,조합주택 시공보증서의 용도는?,2009-10-16,4353,2897328
1378,임대보증금 보증이란?,2009-10-16,4183,2895047
1379,광업제조업조사는 법적근거가 있나요?,2009-10-16,117,2895942
1380,광업제조업조사는 언제부터 실시하였나요?,2009-10-16,117,2895943
1381,서대문구에서는 목표관리제를 시행하고 있나요?,2009-10-16,153,2895966
1382,이니셔티브란?,2009-10-16,23,25466704
1383,가로기 게양은 구체적으로 언제 하고 있나요?,2009-10-16,686,2897329
1384,새마을운동협의회에서 금년 추진하는 사업은?,2009-10-16,411,2897330
1385,상봉8재정비촉진구역 FAQ,2009-10-16,148,2896058
1386,조합원이 되면 모두 아파트를 분양받을 수 있는 겁니까?,2009-10-16,325,2898467
1387,미관지구내 건축선 후퇴 거리는?,2009-10-16,9834,2895055
1388,제가 가지고 있는 토지는 지목상 도로입니다. 이런 경우에도 분양대상자에 해당 되는지요?,2009-10-16,1044,2895046
1389,은평구청은 어디와 1사1촌을 맺었습니까?,2009-10-16,123,2898071
1390,사회단체보조금심의위원의 임기는?,2009-10-16,173,2898072
1391,사회단체보조금 지원에 따른 심의위원회의 구성은?,2009-10-16,213,2898073
1392,사회단체보조금지원심의위원회 위원의 임명.위촉은 누가 하나요?,2009-10-16,151,2898074
1393,은평구청은 사회단체보조금 심의위원회를 몇명으로 구성하였습니까?,2009-10-16,177,2898076
1394,제가 가지고 있는 토지는 건물이 없는 나대지입니다. 분양대상자에 해당 되는지요?,2009-10-16,655,2896008
1395,상가소유자가 아파트를 배정받을 수 있습니까?,2009-10-16,550,2895045
1396,무허가건물을 가지고 있습니다. 분양대상자에 해당 되는지요?,2009-10-16,475,2896181
1397,2 이상의 주택을 가지고 있는 경우 아파트 분양대상은 몇 개인가요?,2009-10-16,408,2898468
1398,은평구에서의 사회단체보조금 지원대상 사업은?,2009-10-16,164,2898077
1399,2 이상의 토지나 건축물이 있는 경우 매매를 할 경우 별도의 분양대상이 되는지요?,2009-10-16,377,2898469
1400,새마을운동조직의 지원근거법령은?,2009-10-16,220,2898078
1401,공유지분을 소유한 경우에도 분양대상이 되나요?,2009-10-16,3544,2896009
1402,바르게살기운동협의회의 사회단체보조금 지원근거는?,2009-10-16,196,2898079
1403,서대문구 재향경우회의 대표자 및 전화번호는?,2009-10-16,245,2897348
1404,새마을 장학금 지급의 종류는?,2009-10-16,96,2898080
1405,새마을운동 서대문구지회의 대표자 및 전화번호는?,2009-10-16,730,2897350
1406,바르게살기운동 서대문구협의회의 대표자 및 전화번호는?,2009-10-16,347,2897351
1407,자유총연맹 서대문구지회의 대표자 및 전화번호는?,2009-10-16,277,2897352
1408,건축물에너지절약 설계기준 적용대상은?,2009-10-16,1902,2897019
1409,문서보안시스템(DRM) 재설치하면 해결되는 사례들,2009-10-16,265,2895813
1410,"접수문서 선람 중 담당자가 잘못 지정되었다거나 결재자(팀장, 과장님 등)선에서 반려 된 경우",2009-10-16,3186,2895814
1411,중랑구보건소 홈페이지를 통한 온라인서비스에는 어떤 것들이 있나요?,2009-10-16,1596,2895542
1412,은평구 전산정보과에서는 사무용품을 어떻게 구매하시나요?,2009-10-16,163,2896770
1413,행정정보연계 문서가 안 넘어 올 경우 어떻게 해야 하나요 ?,2009-10-17,263,2894702
1414,미관지구에 집을 지을 때 규제되는게 있나요,2009-10-17,1896,2896059
1415,토지형질변경허가를 받고 싶은데,2009-10-17,468,2896060
1416,보육시설의 규모와 기준은 어떻게 되나요?,2009-10-17,620,2898446
1417,제가 소유하고 있는 토지의 도시계획에 대한 내용을 어떻게 확인할 수 있습니까?,2009-10-17,465,2896111
1418,촉진지구내 촉진구역(재개발사업)의 세입자는 주거이전비 지급받기 위한 요건?,2009-10-17,536,2895020
1419,관리처분계획을 수립하여 총회의 의결 및 공람을 완료한 후에 관할구청에 인가를 신청하였으나 특정사유로 그 기준 및 정관의 규정에 의하여 최초 공람한 관리처분계획 내용의 변경이 불가피한 경우 다시 공람을 하여야 하는지 여부,2009-10-17,536,2894572
1420,장애아보육환경개선을 위한 장비비 지원 기준은 ?,2009-10-17,348,2897871
1421,영유아보육법 개정전에 자격인정을 받은 보육교사 및 보육시설장은 어떤 기준으로 자격검정이 이루어집니까?,2009-10-17,1650,2897876
1422,보육교사 자격 검정과 관련하여 2001년에 대학 졸업하고 보육교사 이수증이 있는데 자격증으로 바꿀려고 합니다. 보육실습확인서를 받으려고 하니 실습한 어린이집이 폐원하였습니다. 어떻게 해야 하나요?,2009-10-17,1482,2897877
1423,평가인증 관찰자 교육을 받으려면 어떻게 해야 하나요?,2009-10-17,4787,2895798
1424,준불연재료라 함은 ?,2009-10-18,1050,2896180
1425,'경복궁 쌀'이란?,2009-10-18,2806,2895725
1426,문제행동조기개입서비스 바우처카드 배송상태는 어디서 확인가능하나요?,2009-10-19,409,2896061
1427,간선도로에 설치된 시선유도봉 관리는 어디서 하나요,2009-10-19,528,2898081
1428,건축후퇴선내 시설물 관리는 어디서 하나요?,2009-10-19,538,2898082
1429,외국정부로부터 영예 또는 증여를 받을 경우 허가를 받아야 합니까?,2009-10-19,565,2895140
1430,직무내외를 불문하고 품위유지의 의무가 있나요?,2009-10-19,379,2895141
1431,영리업무 종사가 가능합니까?,2009-10-19,271,2895142
1432,"영리를 목적으로 하는 사기업체의 이사, 감사, 무한책임사원, 지배인, 발기인 기타 임원이 될 수 있읍니까?",2009-10-19,501,2895143
1433,직무와 관련있는 기업에 투자하는것이 가능합니까?,2009-10-19,88,2895162
1434,공직자 윤리위원회 관할은?,2009-10-19,733,2894718
1435,민간건설임대주택의 경우 임대사업자 등록을 반드시 하여야 하는 지 여부 및 등록 시점,2009-10-19,3136,2896142
1436,다른 직무를 겸직 할 수 있나요?,2009-10-19,103,2895163
1437,재건축정비사업구역의 세입자 대책은 어떻게 되나요?,2009-10-19,1364,2898083
1438,복무규정 제10조에서 정한 영리업무에 해당하지 않는 직무로서 직무수행에 지장이 없는 경우 겸직이 가능한가요?,2009-10-19,130,2895164
1439,야간 대리운전은 영리업무인가요?,2009-10-19,811,2895165
1440,공무원이 공동주택의 입주자 대표회의의 대표직을 맡고자 할 경우 사전에 소속기관장의 겸직허가를 받아야 하나요?,2009-10-19,415,2895166
1441,기업체 사외이사 겸직허용이 가능한가요?,2009-10-19,142,2895167
1442,"정당, 정치단체 결성에 관여할수 있나요?",2009-10-19,123,2895169
1443,양성평등채용목표제의 근거는?,2009-10-19,237,2896667
1444,출장검진관련 법은?,2009-10-19,716,2898084
1445,공무원의 직무상 의무는?,2009-10-19,2443,2895170
1446,모든 공무원은 담당직무를 수행함에 있어서 법령을 준수하여야 합니까?,2009-10-19,132,2895196
