번호,제목,생산일,조회수,내용번호
98,"시장정정비사업조합에 가입되어 있는 조합원으로서 관리처분계획인가 이전에 가입, 탈퇴가 자유로운지요?",2007-03-09,511,2894351
99,시장정비사업으로 아파트 분양할 시 입주자모집공고를 언제 하여야 하는지요?,2007-03-09,357,2895500
100,당초 조합설립에 미동의한 토지등 소유자가 매도청구 소송을 제기한 이후 조합설립에 동의하였을 경우 조합임원의 피선출권이 있는지요?,2007-03-09,703,2894352
101,하나의 필지에 수인이 공유하는 경우 토지등 소유자 산정기준는 무엇인가요?,2007-03-09,697,2894350
102,추진위원회는 정비구역 지정 전 승인신청 가능한지요?,2007-03-09,720,2898195
103,당초 정비사업에 동의하였다가 추진위원회 또는 인가권자에게 동의철회 의사를 서면으로 제출한 경우 동의자 수 산정 여부는 무엇인가요?,2007-03-09,843,2894348
104,"조합원 사망하여 부인이 상속받을 경우, 조합원 자격 자동 승계여부와 조합원 사망으로 상속받지 않았으나 상속인에 대한 자격 지속여부 어떻게 되나요?",2007-03-09,3203,2898197
105,"조합설립인가 이후, 당초 조합원인 처 의 지분 일부를 증여 취득하여 조합원이 될 수 있는지 여부는 무엇인가요?",2007-03-09,1357,2894453
106,주택재개발정비사업조합에서 주택분양을86㎡로 왜 제한 하나요?,2007-03-12,618,2894345
107,"[주민자치센터] 기능, 설치기준, 관할구역 변경",2007-04-10,1439,2894880
108,장애인들을 위한 공중화장실은 없나요?,2007-04-11,672,2895506
109,DMC 입주기업은?,2007-04-11,202,2897229
110,DMC단지 미술장식품 설치란?,2007-04-11,580,2896651
111,조례ㆍ규칙심의회의 기능은 무엇인가요?,2007-04-11,468,2894153
112,지방공사와 지방공단은 무엇이 다른가요?,2007-04-11,1524,2894402
113,투ㆍ융자사업심사란 무엇입니까 ?,2007-04-12,377,2897165
114,서울시 투자사업심사에 관한 규칙 열람,2007-04-12,364,2898593
115,투자심사는 1년에 몇 회 정도 실시합니까?,2007-04-12,255,2898596
116,광역교통시설부담금 납부시기 및 구비서류는?,2007-04-12,3396,2896644
117,"택시유가보조금, 부가세경감(보조), 콜보조금의 차이는?",2007-04-12,3938,2898157
118,설계용역업체 선정 시 적격심사기준은 어떻게 됩니까?,2007-04-12,1831,2894648
119,설계의 경제성 등 검토(설계VE)란 무엇입니까?,2007-04-12,1147,2894179
120,건설기술용역이란 무엇을 말하는 건가요?,2007-04-12,4760,2894450
121,도시건축공동위원회 위원은 어떤 분들로 구성되나요?,2007-04-12,633,2898535
122,획지계획이란 무엇이고 왜 하는 것인가요?,2007-04-12,1869,2895627
123,지구단위계획에서 공동개발이란 무엇인가요?,2007-04-12,2453,2898534
124,"서울시의 국정감사는 언제 실시되며, 어느 국회 상임위원회에서 주로 실시하였나요?",2007-04-12,899,2898567
125,재무국 소관 업무는 무엇인가요?,2007-04-13,318,2896438
126,제 계좌로 시청에서 돈이 입금되었는데 어떤 내역이죠?,2007-04-13,906,2895639
127,국유지상에 있는 사유건물을 시세에 비해 비싸게 매입했습니다. 구제수단은 없는지요?,2007-04-13,812,2894603
128,지급명령 계좌송금은 무엇인가요?,2007-04-13,705,2894114
129,책임감리용역비는 어떻게 산정합니까?,2007-04-13,3379,2894176
130,잠실야구장 프로 야구 예매 안내,2007-04-16,117052,2896926
131,봉수대란 무엇인가요? (서울의 5개 봉수대),2007-04-16,4901,2894907
132,도로관리정책 포럼이란?,2007-04-16,504,2894430
133,서울시에서 운영하는 양묘장이 있나요?,2007-04-16,2168,2895608
134,광암정수사업소 자동화시스템은 어떻게 구성되었나요?,2007-04-17,206,2894218
135,세무행정과정교육을 받고 싶은데 신청과 절차는 어떠한지요?,2007-04-17,194,2894378
136,서울시 건축위원회(건축심의)에 대한 질의,2007-04-19,4396,2896482
137,서울시 차량통행속도조사 결과자료는 어디에서 얻을 수 있나요?,2007-04-20,315,2898016
138,버스 정류소 번호 또는 정류소 아이디가 무엇인가요?,2007-04-20,8604,2896422
139,서울시 유명한 맛집 등을 소개해 주세요.,2007-04-24,1268,2896404
140,"[방과후 아카데미] 목적,프로그램내용,운영시간,이용대상및 요금부담,신청방법",2007-04-24,1528,2898242
141,청소년 프로그램 위탁운영단체 공모,2007-04-24,1186,2895692
142,"[서바이벌게임] 개요,운영방법 및 프로그램,참가방법,게임장 위치",2007-04-24,3373,2894875
143,"재가봉사센터를 이용하고 싶은데 이용절차는 어떻게 되며, 봉사원이 되려면 어떻게 해야 하나요?",2007-04-24,685,2894944
144,장애인 시설(노인요양원)이 협소한 경우 반드시 화장실을 남녀 구분하여 설치 하여야 하나요?,2007-04-25,761,2895552
145,복합환승센터란?,2007-04-25,4124,2894623
146,실전창업스쿨 이수 후 창업자금 보증규모는?,2007-04-26,356,2895644
147,설계업ㆍ감리업양도 양수 신고 어떻게 하면 되나요?,2007-04-26,839,2896449
148,도로표지 안내지명에 사용되는 문안의 기준은?,2007-04-27,736,2896793
149,시선유도표지와 갈매기표지의 차이점?,2007-04-27,3273,2894540
150,수도 검침시 지역 분구 일련번호는 무슨 의미죠?,2007-05-09,885,2895345
151,서울시 상수도공사 계획은 몇 년 계획으로 시행하나요?,2007-05-10,960,2894395
152,공사후 폐기물이 방치 되어 있는데 어디에서 처리합니까,2007-05-11,127,19379691
153,시유재산 매매(매입)계약 체결후 소유권을 이전하고 싶은데 어떻게 해야하나요?,2007-05-14,616,2896453
154,상수도 배관망도 자료 획득 방법은?,2007-05-17,1000,2897597
155,건설공사 책임감리는 주로 어떤 공사들을 하는가요?,2007-05-21,519,2894940
156,건설공사 설계변경은 어떻게 하나요?,2007-05-21,768,2894177
157,수돗물에서 벌레의 유충이 나왔어요,2007-05-22,5402,2894385
158,"초, 중, 고등학생의 전학 문의",2007-05-23,1451,2895660
159,"시설을 운영하는 것을 목적으로 하는 사회복지법인 신청시 행정기관에서 시설의 운영비 2년치를 확보하여야 법인설립허가가 가능하다는데, 타당한 요구인지요?",2007-05-25,383,2897140
160,이사화물업체 이용시 주의사항(자치구 업무),2007-05-29,1747,2895967
161,하수관과 차집관로의 차이점은 무엇입니까?,2007-06-13,9880,2898247
162,무료급식 운영 장소,2007-06-14,10348,2898235
163,하자보수 보증금의 납부금액 결정은 어떤 방법으로 결정되나요?,2007-06-21,201,2894208
164,시유재산을 점유하고 있는데 이 땅을 살 수있나요?,2007-06-21,543,2895041
165,서울 신문고 폐지 사유는?,2007-06-26,550,2894181
166,서울시에는 몇 개의 지구단위계획구역이 있나요?,2007-07-02,35,26881068
167,ㅇㅇ홈페이지가 안 열리는데요?,2007-07-02,430,2895386
168,서울시 전자우편 문의하려면?,2007-07-02,2853,2896592
169,서울의 주민소득을 알 수 있나요?,2007-07-02,244,2897312
170,남산 관광자원화 사업내용은?,2007-07-03,425,2894472
171,행정서비스헌장에 관한 문의,2007-07-04,478,2898627
172,금호유수지~교통안전회관간 도로확장 사업은 언제 완료되나요?,2007-07-06,726,2894188
173,강동구 구천면길확장은 언제 공사가 완료 되나요?,2007-07-06,1183,2894185
174,시.도의 구분은 어떻게 이루어지면 구분이유는 무엇인가요?,2007-07-06,1610,2894184
175,도로는 어떤 절차로 새로 건설되나요?,2007-07-06,1715,2894183
176,가로등 격등제 운영및 설치 현황은?,2007-07-06,3731,2898621
177,"[서울의제 21실천공모사업] 내용,지원규모,신청방법 안내",2007-07-06,401,2898373
178,사유지가 하천구역에 편입되어 있는데 보상이 가능한가요?,2007-07-06,3071,2898252
179,청계천 복원 이후 서울시 기후 변화에 어떤 영향이 있었는지 알고 싶습니다.,2007-07-09,602,2894449
180,"소형 열병합 발전시설을 확대하여 운영하면 대기오염을 줄이고, 온실가스 발생량을 저감할 수 있을 것으로 사료 됩니다. 더 많은 열병합발전시설을 설치가능한가요?",2007-07-09,482,2895555
181,수도권 사업장 대기오염물질 총량관리제 (오염물질 배출허용량 할당),2007-07-09,3762,2895328
182,학생들이 집에서 직접 pH측정을 할수 있는 방법은 없나요?,2007-07-10,984,2895498
183,정수장에서 실시하는 먹는물 검사항목과 주기는?,2007-07-10,494,19333504
184,지하차도가 야간에 어두운데 더 밝게 가능한가요?,2007-07-10,299,2894550
185,중고물품을 직접 살 수 없나요? (뚝도정수사업소),2007-07-10,233,2894237
186,검침 등 민간위탁 업무 수탁업체는 몇년간 계약되어 있고 계약방법은 어떻게 되나요?,2007-07-10,142,19353860
187,청소용품 납품이 가능한지? (뚝도정수사업소),2007-07-10,153,2894936
188,"[시장표창] 수상대상, 상품, 확인서, 양식다운로드",2007-07-10,2084,2898128
189,서울시내 아파트지구는 몇 개소가 있나요?,2007-07-11,699,2897469
190,아파트지구 중 기본계획 재정비가 안된곳은 몇개소인가요?,2007-07-11,548,2895059
191,오피스텔 심의기준이란 게 있다는데 현재에도 운영하고 있는가요?,2007-07-11,4047,2894261
192,제2종 일반주거지역은 7층 지역과 12층 지역이 하던데 차이가 뭔가요?,2007-07-11,5244,2895621
193,도시계획입안중인 지역에는 건축허가가 불가능한가요?,2007-07-11,1598,2894384
194,공원에서 일용직으로 일하고 싶은데 채용 요건은?,2007-07-11,416,2894196
195,"도시계획시설(체육시설, 공공청사, 연구시설, 도서관, 문화 시설) 결정 절차",2007-07-11,4980,2897726
196,서울의 대기오염 저감을 위해 기후환경본부 대기정책과에서 추진하는 대책은 무엇입니까?,2007-07-11,1565,2895678
197,개발이익환수에관한법률은 무슨 법률인가요?,2007-07-12,989,2894410
198,전자지번도개발 및 관리 무엇인가요?,2007-07-12,567,2897905
199,지적행정시스템 운영 관리,2007-07-12,1192,2897906
200,재정비촉진지구 지정시 행위 등의 제한 내용은 무엇인가요?,2007-07-12,1601,2894347
201,주택재건축사업에 대해서 구역지정 요건등을 완화하지 않은 이유는 무엇인가요?,2007-07-12,750,2894952
202,재정비촉진지구에서 주택규모 및 건설비율 특례내용은 무엇인가요?,2007-07-12,412,2898551
203,신림뉴타운지구에서 제외된 인접지를 추가로 편입할수 있나요?,2007-07-12,826,2894366
204,사업시행자가 조합인 경우 사업시행자를 조합 구성원인 법인으로 변경이 가능한지요?,2007-07-12,742,2894349
205,구역지정 요건의 완화에서 노후도를 제외한 이유는 무엇인가요?,2007-07-12,1322,2894365
206,정비사업구역 내의 토지등 소유자가 아닌 자가 임시총회 참석하여 의결권 행사 및 조합임원의 권리를 행사할 수 있는지요?,2007-07-12,269,2894372
207,주택재개발사업에서 분양대상자는 누구인가요?,2007-07-12,2131,2894346
208,1개 시장을 분할하여 각각을 시장정비사업 시행구역으로 선정할 수 있는지요?,2007-07-12,254,2895501
209,조합정관에 의하여 시장정비사업구역의 약 3/4을 소유하고 있는 법인으로부터 위임장을 받은 자가 조합정관에서 정한 조합장으로 선출될 수 있는지 여부 무엇인가요?,2007-07-12,363,2895502
210,시장 인근구역도 시장정비사업시행구역에 포함여부는 무엇인가요?,2007-07-12,301,2895504
211,균형발전촉진지구지정현황은 어떻게 되나요?,2007-07-12,1027,2894344
212,우수현장 관계자 시상관련 문의,2007-07-12,264,2896805
213,올림픽대로 가로수는 우리나라 고유수종의 특징 있는 나무로 대체 식재하면 어떨까요?,2007-07-12,1808,2895091
214,황학동 일대 황학주택재개발사업과 관련하여 황학구역내 위치한 삼일아파트 철거를 이주전문상가로 입주할 때까지 삼일아파트 철거를 연기해 줄 수 있는지요?,2007-07-12,428,2894354
215,도장을 하지 않는 강교량이 있다고 하던데 어떤 건지요?,2007-07-12,522,2894343
216,기술용역 이행실적 증명은 어떤 건가요? (남부도로관리사업소),2007-07-13,411,2894368
217,지하에 매설되어 있는 상수도관의 구경을 도로상에서 알 수 있습니까?,2007-07-13,1184,2897012
218,지리정보화사업과 관련하여 일을 하고 싶습니다,2007-07-16,161,2894260
219,전자계약체결을 위한 이용자등록방법은,2007-07-16,764,2894205
220,선금청구시 계약금액의 몇%까지 가능한지요 (강동수도사업소),2007-07-16,701,2894206
221,전자계약시 인지세는 어떻게 납부하나요?,2007-07-16,1739,2894209
222,정비공사를 하면 수요가에게 어떤 효과가 있나요,2007-07-16,118,2894977
223,최근 조성된 생태통로는 어디에 있나요?,2007-07-18,1624,2896597
224,상수도관의 관세척은 언제 합니까?,2007-07-19,1500,2894221
225,수도요금 및 사용량을 알고 싶은데 조회를 어떻게 하여야 하나요?,2007-07-19,594,19353861
226,행정재산과 잡종재산이란?,2007-07-19,3173,2894404
227,타 기관 매설물과 최소한의 이격거리는,2007-07-19,1139,2894255
228,지체상금이란?,2007-07-19,910,2894243
229,행정지원과의 콜센터는 어떤일을 하나요?,2007-07-19,364,2894884
230,[한강유람선]에서 광고물 표시를 금지하고 있어 육상과의 형편이 맞지 않다고 보는데 해결방안은 없는지요?,2007-07-19,239,2894364
231,검침 등 민간업체가 업무상 과실을 범하여 민원을 야기하였을 경우는 어떤 제재가 가해지나요?,2007-07-19,119,2896117
232,[전자민원] 신청절차?,2007-07-20,633,2896836
233,수돗물에서는 물고기가 살 수 없나요?,2007-07-20,2576,2895505
234,"올림픽대로, 강변북로 확장 계획은 없나요?",2007-07-20,1285,2895095
235,"양천구 신정로의 보도구간이 미보상 사유지인데, 도로부지내(보도) 사유지에 대한 보상 계획은 있나요?",2007-07-20,1227,2894467
236,공사를 하게되면 콘크리트나 아스팔트 같은 폐기물은 어떻게 처리를 하시나요,2007-07-23,716,2894625
237,우리집앞 상수도관 현황을 팩스송부 받을 수 있나요?,2007-07-23,327,2894259
238,학교 논문관련하여 상수도배관망도에 관한 연구보고를 쓰고 싶습니다. 서울시 배관망도를 복사해 줄 수 있나요?,2007-07-23,156,19344044
239,지하보행로와 인근 건축물과의 지하층 연결을 위한 통로 설치시 어떤 절차가 필요한가요?,2007-07-24,884,2894680
240,[수질_저수조수질검사_수질검사대상건축물] 2007년도부터 저수조 수질검사를 년1회 의무화되었다는데 우리건물도 검사대상이나요?,2007-07-24,257,19311859
241,[급수_역류방지밸브_설치장소] 우리집에는 역류방지밸브를 어떻게 설치합니까?,2007-07-25,1038,2895434
242,아파트 진입도로는 몇 미터이상을 확보하여야 하나요?,2007-07-26,2440,2894147
243,아파트 분양시 주택공급면적이란 무엇을 말하나요?,2007-07-26,4556,2894146
244,"[입주자대표회의] 구성원이 10명이고, 그 구성원의 7명이 선출되었을 경우 입주자대표회의 의결시 4명 찬성으로 의결이 가능한가요?",2007-07-26,2482,2895030
245,정비구역 지정 입안에 따른 주민 동의율 산정시 나대지 소유자와 기존무허가건물 소유자를 각각의 1인의 소유자로 볼 수 있나요?,2007-07-27,1307,2894128
246,[수도사업소] 요금조정심의 시 구비서류,2007-07-27,547,2898311
247,재개발조합의 불법행위에 대해 어떻게 해야 하나요?,2007-07-27,1317,2898193
248,"세입자에 대한 주거이전비를 조합에서 선지급하고, 추후 청산시 조합원에게 부담하도록 하는 관리처분계획이 가능한지와 영업권 손실보상을 세입자 뿐만 아니라 토지등소유자에게도 지급하여야 하나요?",2007-07-27,872,2894138
249,호수밀도 산정기준이 어떻게 되나요?,2007-07-27,2339,2898192
250,조합원의 분양권 매매에 대한 규정이 어떻게 되나요?,2007-07-27,1496,2898191
251,"정비업체, 시공사 선정과 등록, 계약(해지)에 관한 규정이 어떻게 되나요?",2007-07-27,1408,2894139
252,유사 석유 및 휘발유 신고처,2007-07-27,1553,2894708
253,재개발지역 주민 재입주율 향상을 위한 대책은 무엇인가요?,2007-07-27,1361,2894127
254,정비사업체를 해지할 경우 바로 회사 설립이 가능한가요?,2007-07-27,673,2894135
255,[급수_급수신청_신청방법] 공동수도를 우리동네에 설치할 수 있나요?,2007-07-27,289,2894400
256,서울에 있는 공원 매점을 임대받으려면 어떻게 해야 하나요?,2007-07-30,1033,2894219
257,한옥 융자금을 받기 위해 필요한 서류는 무엇인가요?,2007-07-31,419,2898454
258,게임장에 대한 행정처분 기준및 청구절차는,2007-07-31,878,2895619
259,[병원이용] 행려정신병자가 있어서 이송하려는데 필요한 절차가 어떻게 되나요?,2007-08-02,2618,2894598
260,[소방행정] 직원사칭 대상처 검사요구시 어떻게 해야 하나요?,2007-08-03,627,2894416
261,[소방관계법 위반] 직원사칭한 소화기 강매하려는 사람은 어떻게 해야 하나요?,2007-08-03,685,2894878
262,[소방안전교육] 지하철 관계자도 소방교육을 받고 있나요?,2007-08-03,608,2895544
263,[소방시설] 소화기구 적용대상 및 기준,2007-08-03,924,2896989
264,[서울시 수련원] 일반시민 이용가능여부 및 어디에 몇 개가 있나요?,2007-08-05,10179,2897004
265,[소방시설] 소화기는 어디에서 구입하나요?,2007-08-06,18243,2896985
266,공무원교육원 구내식당을 다른 행사장으로 이용 할 수 있나요?,2007-08-06,275,2896344
267,과정별 평가종류 및 과목은 어떻게 알 수 있습니까?,2007-08-07,237,2894377
268,공무원교육원 교육생 홈페이지 등록을 미처 못했는데 어떻게 해야 하나요?,2007-08-07,199,2894379
269,교육지원조례 및 지원사업은?,2007-08-07,248,2895656
270,[서울시 수련원] 이용시 선택적 복지포인트 차감은 어떻게 하나요?,2007-08-07,1453,2895031
271,부동산 등기부등본 발급 문의,2007-08-07,32413,2895795
272,70년대 전기기술자면허증 발급확인 방법은?,2007-08-07,561,2894130
273,[소방행정] 소방서에서 하는 일이 무엇입니까?,2007-08-08,12438,2894417
274,공사 실명제란?,2007-08-08,1622,2894953
275,동작구 장승배기~여의도간을 연결하는 고가도로는 어떻게 추진되고 있나요?,2007-08-08,1464,2894189
276,콘크리트 구조물의 내구성 저하 요인은 어떤 것이 있는가요?,2007-08-08,1284,2894442
277,구조물 배관은 어떤 것이 있나요?,2007-08-08,82,19333503
278,[위험물_설치허가] 보일러 등유로 사용하기 위해 위험물 허가를 받으려면 어떻게 해야 하나요?,2007-08-10,1265,2898495
279,[서울시립대학교] 행정시스템,2007-08-13,362,2895402
280,클린법인카드와 신용카드의 차이점은 무엇인가요?,2007-08-13,2272,2894703
281,지급명령 반납절차에는 어떻게 되나요?,2007-08-13,392,2894115
282,우리 동네 이름을 바꿀 수 있는 방법은?,2007-08-13,916,2894120
283,국비 자금배정은 어떤 절차로 되나요?,2007-08-13,221,2896973
284,계산증명자료는 감사원 어느부서로 보내나요?,2007-08-13,260,2896974
285,이자수입은 어디서 발생하며 이율은 어떻게 정해지나요?(계산증명),2007-08-13,798,2894113
286,[시민수상구조대] 시민수상구조대가 무엇인가요?,2007-08-13,915,2894670
287,국비 지출 절차는 어떻게 되나요?,2007-08-13,505,2896971
288,국유지 매각기준을 보고 싶은데 어디서 볼수 있는지요?,2007-08-14,2895,2894946
289,서울시 물품 관리,2007-08-14,1121,2896550
